
Gurobi 11.0.2 (win64) logging started Fri Oct 18 16:25:27 2024

Set parameter LogFile to value "Z:\PyHub\PyHub_results\CM\Cluster_integration\Zeeland_ammonia\20241018162155_minE_refCO2tax-1\solver_log.txt"
Set parameter TimeLimit to value 345600
Set parameter MIPGap to value 0.01
Set parameter NodefileStart to value 60
Set parameter LPWarmStart to value 0
Gurobi Optimizer version 11.0.2 build v11.0.2rc0 (win64 - Windows Server 2019.0 (17763.2))

CPU model: QEMU Virtual CPU version 2.5+, instruction set [SSE2]
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads

Optimize a model with 2435629 rows, 2345993 columns and 5642643 nonzeros
Model fingerprint: 0x2e55a1b9
Variable types: 2341183 continuous, 4810 integer (4810 binary)
Coefficient statistics:
  Matrix range     [2e-05, 1e+08]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 3e+08]
  RHS range        [1e+00, 1e+08]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Presolve removed 2178573 rows and 2191890 columns
Presolve time: 3.91s
Presolved: 257056 rows, 154103 columns, 956792 nonzeros
Variable types: 149774 continuous, 4329 integer (4329 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    6.9092435e+03   9.974749e+08   6.453981e+12     14s
   11008    7.1587948e+05   1.070456e+06   9.232050e+10     15s
   21355    8.9934785e+05   1.329253e+05   6.372517e+09     20s
   24429    8.9467092e+05   1.078726e+05   5.366810e+09     25s
   28160    9.7131002e+05   9.050616e+04   2.673196e+09     30s
   32309    1.0513262e+06   7.341567e+04   3.634658e+09     35s
   35575    1.0511010e+06   6.419302e+04   3.885558e+09     40s
   38538    1.0535732e+06   5.230375e+04   2.020412e+09     45s
   41152    9.3139094e+05   4.065646e+04   3.099349e+09     50s
   43765    8.1210907e+05   3.240147e+04   5.687047e+09     55s
   46022    7.4031044e+05   2.322166e+04   2.006812e+09     60s
   47913    6.9489491e+05   1.755698e+04   2.623276e+09     65s
   49744    6.2610930e+05   1.201632e+04   3.078252e+09     71s
   51603    5.5889437e+05   8.712414e+03   1.131324e+10     75s
   53517    5.3675726e+05   5.986018e+03   3.143909e+10     80s
   55786    5.3144921e+05   3.003970e+03   5.398697e+09     85s
   57709    5.2964172e+05   1.061233e+03   7.251549e+08     90s
   59456    5.2904281e+05   3.738722e+01   9.062267e+08     95s
   62507    4.8716657e+05   0.000000e+00   1.608111e+05    100s
   65310    4.5325024e+05   0.000000e+00   1.724162e+05    105s
   68606    4.3466347e+05   0.000000e+00   3.635835e+05    110s
   71247    4.1779665e+05   0.000000e+00   4.206731e+06    115s
   73171    4.0376472e+05   0.000000e+00   2.716571e+05    120s
   75261    3.8524045e+05   0.000000e+00   3.726747e+04    125s
   77352    3.6914820e+05   0.000000e+00   5.246961e+05    130s
   79269    3.6149298e+05   0.000000e+00   1.354582e+06    135s
   81186    3.4999000e+05   0.000000e+00   1.326584e+05    140s
   83100    3.3865109e+05   0.000000e+00   1.881061e+04    145s
   85188    3.2649629e+05   0.000000e+00   9.525840e+04    150s
   87276    3.1643767e+05   0.000000e+00   1.818795e+05    155s
   89016    3.0529558e+05   0.000000e+00   1.288444e+05    160s
   90758    2.9597044e+05   0.000000e+00   7.833817e+04    165s
   92846    2.8893884e+05   0.000000e+00   2.027762e+04    170s
   94587    2.8134297e+05   0.000000e+00   6.731933e+04    175s
   96330    2.7314630e+05   0.000000e+00   1.414793e+05    180s
   98072    2.6158242e+05   0.000000e+00   3.258432e+05    185s
   99639    2.5499465e+05   0.000000e+00   1.543395e+04    190s
  101379    2.4781728e+05   0.000000e+00   5.196061e+04    195s
  103121    2.4186219e+05   0.000000e+00   1.003931e+05    200s
  104863    2.3437214e+05   0.000000e+00   8.696115e+04    205s
  106434    2.2975311e+05   0.000000e+00   1.808009e+04    210s
  108177    2.2395037e+05   0.000000e+00   2.765496e+05    215s
  109920    2.1780905e+05   0.000000e+00   1.431759e+05    220s
  111837    2.1130926e+05   0.000000e+00   1.437015e+05    225s
  113578    2.0563436e+05   0.000000e+00   4.388635e+04    230s
  114970    2.0320512e+05   0.000000e+00   2.310987e+04    235s
  116710    1.9940729e+05   0.000000e+00   2.142777e+05    240s
  118277    1.9581385e+05   0.000000e+00   5.392753e+04    245s
  119613    1.9515623e+05   0.000000e+00   1.627529e+05    250s
  120719    1.9136701e+05   0.000000e+00   2.295482e+05    256s
  122111    1.8296270e+05   0.000000e+00   4.390240e+04    260s
  123503    1.7784280e+05   0.000000e+00   1.465223e+05    265s
  124571    1.7772627e+05   0.000000e+00   8.958962e+05    270s
  125595    1.7564297e+05   0.000000e+00   4.154965e+05    276s
  126640    1.7157920e+05   0.000000e+00   7.190181e+04    280s
  127660    1.6938379e+05   0.000000e+00   2.723072e+05    285s
  128692    1.6818574e+05   0.000000e+00   1.389435e+05    290s
  129702    1.6817110e+05   0.000000e+00   2.953079e+05    296s
  130592    1.6800163e+05   0.000000e+00   3.211815e+06    300s
  131750    1.6765838e+05   0.000000e+00   1.044678e+05    305s
  132670    1.6693976e+05   0.000000e+00   9.571703e+04    310s
  133630    1.6488829e+05   0.000000e+00   2.010005e+05    315s
  134720    1.6428083e+05   0.000000e+00   1.700678e+05    321s
  135600    1.6209435e+05   0.000000e+00   1.101720e+05    326s
  136500    1.6022623e+05   0.000000e+00   1.315884e+05    331s
  137430    1.5864844e+05   0.000000e+00   6.500109e+04    336s
  138414    1.5580931e+05   0.000000e+00   2.688221e+05    340s
  139496    1.5390547e+05   0.000000e+00   9.237926e+04    346s
  140286    1.5390276e+05   0.000000e+00   4.551741e+04    350s
  141136    1.5390237e+05   0.000000e+00   4.472478e+04    355s
  142016    1.5390069e+05   0.000000e+00   1.665604e+05    361s
  142786    1.5389183e+05   0.000000e+00   3.491891e+05    365s
  143526    1.5383198e+05   0.000000e+00   3.335894e+06    370s
  144236    1.5319797e+05   0.000000e+00   8.314937e+05    376s
  144956    1.5283674e+05   0.000000e+00   8.219037e+06    381s
  145646    1.5247401e+05   0.000000e+00   3.773508e+06    386s
  146316    1.5124365e+05   0.000000e+00   8.978739e+05    391s
  146906    1.5102558e+05   0.000000e+00   1.052089e+06    395s
  147576    1.5049761e+05   0.000000e+00   2.949152e+06    401s
  148106    1.4928932e+05   0.000000e+00   1.391608e+06    405s
  148736    1.4777317e+05   0.000000e+00   6.739429e+05    411s
  149376    1.4635863e+05   0.000000e+00   4.559001e+05    417s
  149826    1.4575667e+05   0.000000e+00   6.453096e+05    420s
  150556    1.4493420e+05   0.000000e+00   7.897072e+05    426s
  151156    1.4492640e+05   0.000000e+00   1.025438e+06    431s
  151766    1.4492581e+05   0.000000e+00   4.015225e+05    435s
  152466    1.4487524e+05   0.000000e+00   6.335080e+05    441s
  153016    1.4415412e+05   0.000000e+00   2.435367e+06    445s
  153666    1.4311297e+05   0.000000e+00   5.228595e+06    450s
  154316    1.4211400e+05   0.000000e+00   1.325650e+06    456s
  154956    1.4044226e+05   0.000000e+00   1.537255e+06    461s
  155496    1.3877996e+05   0.000000e+00   5.988892e+06    466s
  155966    1.3771275e+05   0.000000e+00   3.348370e+06    470s
  156646    1.3717382e+05   0.000000e+00   1.435275e+06    475s
  157286    1.3605474e+05   0.000000e+00   8.665873e+06    481s
  157826    1.3517666e+05   0.000000e+00   2.285444e+06    486s
  158396    1.3457339e+05   0.000000e+00   1.787342e+06    491s
  158946    1.3419144e+05   0.000000e+00   3.496427e+05    496s
  159516    1.3397546e+05   0.000000e+00   1.381130e+06    500s
  160156    1.3328801e+05   0.000000e+00   2.546848e+06    506s
  160726    1.3281453e+05   0.000000e+00   3.099693e+06    511s
  161286    1.3229875e+05   0.000000e+00   5.823190e+06    516s
  161956    1.3190559e+05   0.000000e+00   1.177773e+06    522s
  162306    1.3167791e+05   0.000000e+00   4.024174e+05    525s
  162966    1.3154939e+05   0.000000e+00   1.609927e+06    531s
  163496    1.3128127e+05   0.000000e+00   4.866654e+06    536s
  163956    1.3115167e+05   0.000000e+00   8.175138e+05    540s
  164506    1.3060337e+05   0.000000e+00   1.916256e+05    546s
  164706    1.3054965e+05   0.000000e+00   3.921748e+05    551s
  165076    1.3009583e+05   0.000000e+00   8.282403e+06    556s
  165446    1.2986800e+05   0.000000e+00   2.010562e+05    561s
  165836    1.2974692e+05   0.000000e+00   3.156681e+06    566s
  166206    1.2962077e+05   0.000000e+00   9.783832e+05    571s
  166546    1.2893080e+05   0.000000e+00   2.506608e+05    576s
  166906    1.2847483e+05   0.000000e+00   1.539326e+06    581s
  167376    1.2823197e+05   0.000000e+00   1.172206e+07    586s
  167716    1.2761898e+05   0.000000e+00   3.593957e+06    590s
  168076    1.2736826e+05   0.000000e+00   1.636253e+06    595s
  168606    1.2695085e+05   0.000000e+00   2.956729e+07    601s
  168956    1.2656129e+05   0.000000e+00   6.176795e+06    606s
  169226    1.2636981e+05   0.000000e+00   1.631923e+06    610s
  169746    1.2521795e+05   0.000000e+00   6.828345e+05    616s
  170016    1.2486217e+05   0.000000e+00   6.869625e+05    622s
  170316    1.2468996e+05   0.000000e+00   2.508524e+06    625s
  170776    1.2415791e+05   0.000000e+00   7.443651e+05    632s
  171146    1.2379721e+05   0.000000e+00   5.588353e+06    637s
  171326    1.2367222e+05   0.000000e+00   1.420838e+06    641s
  171706    1.2353746e+05   0.000000e+00   2.925067e+06    646s
  172056    1.2321278e+05   0.000000e+00   5.644973e+05    651s
  172336    1.2293605e+05   0.000000e+00   1.934448e+05    655s
  172736    1.2259217e+05   0.000000e+00   8.636545e+05    661s
  173126    1.2227636e+05   0.000000e+00   5.491523e+06    666s
  173436    1.2224059e+05   0.000000e+00   3.990411e+06    671s
  173906    1.2215608e+05   0.000000e+00   8.263395e+05    677s
  174206    1.2203851e+05   0.000000e+00   3.260201e+06    681s
  174706    1.2201583e+05   0.000000e+00   3.560415e+05    686s
  175206    1.2191175e+05   0.000000e+00   6.782657e+05    691s
  175596    1.2187585e+05   0.000000e+00   7.504837e+05    695s
  176176    1.2176963e+05   0.000000e+00   4.644500e+06    701s
  176696    1.2173803e+05   0.000000e+00   1.141522e+06    706s
  177166    1.2147818e+05   0.000000e+00   3.933992e+05    712s
  177536    1.2132219e+05   0.000000e+00   2.488273e+05    716s
  177906    1.2103064e+05   0.000000e+00   1.628849e+06    721s
  178186    1.2086195e+05   0.000000e+00   1.489238e+05    725s
  178546    1.2063239e+05   0.000000e+00   7.408712e+05    731s
  179006    1.2030769e+05   0.000000e+00   7.546433e+05    737s
  179286    1.2013336e+05   0.000000e+00   8.992489e+05    740s
  179826    1.1966925e+05   0.000000e+00   6.949392e+05    747s
  180156    1.1935371e+05   0.000000e+00   7.606143e+05    752s
  180436    1.1915606e+05   0.000000e+00   8.556509e+04    756s
  180896    1.1892575e+05   0.000000e+00   5.456853e+04    761s
  181406    1.1850755e+05   0.000000e+00   1.239053e+05    766s
  181876    1.1833029e+05   0.000000e+00   4.648747e+05    772s
  182236    1.1812622e+05   0.000000e+00   3.560968e+05    776s
  182776    1.1765905e+05   0.000000e+00   1.340827e+05    782s
  183136    1.1729905e+05   0.000000e+00   1.582055e+05    787s
  183426    1.1718393e+05   0.000000e+00   1.025167e+05    790s
  183876    1.1684660e+05   0.000000e+00   7.478601e+04    796s
  184386    1.1643658e+05   0.000000e+00   1.974432e+05    801s
  185026    1.1608919e+05   0.000000e+00   1.001898e+05    807s
  185376    1.1573115e+05   0.000000e+00   7.659891e+04    811s
  185896    1.1525498e+05   0.000000e+00   4.593829e+04    816s
  186406    1.1473084e+05   0.000000e+00   4.793282e+04    821s
  186846    1.1441598e+05   0.000000e+00   3.330988e+04    825s
  187496    1.1371847e+05   0.000000e+00   8.335863e+04    832s
  187956    1.1298564e+05   0.000000e+00   2.958397e+05    837s
  188276    1.1273290e+05   0.000000e+00   5.206069e+04    841s
  188716    1.1217976e+05   0.000000e+00   3.357255e+05    846s
  189166    1.1172746e+05   0.000000e+00   5.156335e+04    852s
  189466    1.1144339e+05   0.000000e+00   1.113208e+05    855s
  189906    1.1097414e+05   0.000000e+00   6.966404e+04    861s
  190386    1.1059052e+05   0.000000e+00   6.539812e+04    866s
  190896    1.1019048e+05   0.000000e+00   3.575435e+05    871s
  191416    1.0985032e+05   0.000000e+00   2.057164e+04    876s
  191936    1.0949647e+05   0.000000e+00   2.328552e+04    880s
  192436    1.0896144e+05   0.000000e+00   3.976652e+05    885s
  193066    1.0838159e+05   0.000000e+00   1.107820e+05    891s
  193576    1.0806798e+05   0.000000e+00   1.225968e+05    896s
  194056    1.0776691e+05   0.000000e+00   3.564335e+04    902s
  194386    1.0757780e+05   0.000000e+00   1.378079e+05    905s
  194866    1.0709691e+05   0.000000e+00   7.722415e+04    910s
  195466    1.0655818e+05   0.000000e+00   9.097939e+05    917s
  195746    1.0623083e+05   0.000000e+00   1.678480e+04    920s
  196206    1.0606229e+05   0.000000e+00   8.718402e+05    926s
  196646    1.0586851e+05   0.000000e+00   2.686241e+04    931s
  197136    1.0551075e+05   0.000000e+00   2.702908e+04    936s
  197586    1.0542245e+05   0.000000e+00   7.803432e+03    940s
  198226    1.0505938e+05   0.000000e+00   2.752444e+04    946s
  198676    1.0463919e+05   0.000000e+00   2.148565e+04    951s
  199156    1.0440249e+05   0.000000e+00   1.554191e+04    955s
  199616    1.0416386e+05   0.000000e+00   3.291819e+04    961s
  200036    1.0378799e+05   0.000000e+00   3.533359e+04    966s
  200496    1.0363160e+05   0.000000e+00   1.126720e+04    971s
  200966    1.0331594e+05   0.000000e+00   1.536215e+04    976s
  201426    1.0291916e+05   0.000000e+00   7.563891e+03    980s
  202066    1.0264590e+05   0.000000e+00   5.639244e+04    986s
  202526    1.0231876e+05   0.000000e+00   1.627346e+04    991s
  202996    1.0209815e+05   0.000000e+00   7.798640e+03    995s
  203456    1.0175590e+05   0.000000e+00   3.726390e+04   1000s
